entity,source_or_target,entity_type,initial_matching,lexical_matching,graphical_matching
conference:Conference_applicant,Target,Class,conference applicant,"In the context of a research conference, a Conference_applicant refers to an individual or entity who has applied to participate in the conference. This term typically applies to researchers, scholars, scientists, or professionals who submit their research papers, abstracts, or proposals to be considered for presentation at the conference. The conference organizers review these applications and select the most suitable ones to be included in the conference program.","The verbalised sentence is ""Conference applicant is a class."" The verbalised sentence is ""Conference applicant is a subclass of Person."" "
conference:Camera_ready_contribution,Target,Class,camera ready contribution,"In the context of a research conference, ""camera-ready contribution"" refers to the final version of a research paper or presentation that has been accepted for publication or presentation at the conference. It is the version that is ready to be printed or displayed, typically after incorporating any revisions or feedback from the conference reviewers. The term ""camera-ready"" originated from the practice of physically photographing the final version of a paper before printing it for publication. Nowadays, it generally refers to the digital format of the final contribution that will be included in the conference proceedings or presented at the event.","The verbalised sentence is ""Camera_ready_contribution is a class."" The verbalised sentence is ""A camera-ready contribution is a subclass of an accepted contribution."" "
conference:Accepted_contribution,Target,Class,accepted contribution,"In the context of a research conference, ""Accepted_contribution"" refers to a research paper, poster, presentation, or any other form of scholarly work that has been reviewed and approved by the conference organizers for inclusion in the conference program. It indicates that the contribution has met the criteria and standards set by the conference committee and has been deemed worthy of being presented or published at the conference.","The verbalised sentence is ""Accepted_contribution is a class."" The verbalised sentence is ""Accepted contributions are disjoint with rejected contributions."" The verbalised sentence is ""Accepted contribution is a subclass of Reviewed contribution."" "
conference:Program_committee,Target,Class,program committee,"In the context of a research conference, a program committee refers to a group of individuals responsible for reviewing and selecting research papers or presentations to be included in the conference program. The program committee typically consists of experts in the field who evaluate the quality, relevance, and significance of the submitted research work. They play a crucial role in ensuring the conference program includes high-quality and impactful research contributions.","The verbalised sentence is ""Program committee is a class."" The verbalised sentence is ""The Program_committee is a subclass of Committee."" The program committee is disjoint with the organizing committee. The verbalised sentence is ""The Program committee is disjoint with the Steering committee."" "
conference:Organizing_committee,Target,Class,organizing committee,"The organizing committee refers to a group of individuals responsible for planning and coordinating a research conference. They are typically composed of experts and professionals in the field who work together to ensure the smooth execution of the conference. The organizing committee is responsible for various tasks such as selecting the conference theme, inviting keynote speakers, reviewing and selecting research papers, managing logistics, securing funding, promoting the conference, and overseeing the overall organization and management of the event.","The verbalised sentence is ""The Organizing_committee is a class."" The verbalised sentence is ""The Organizing_committee is a subclass of Committee."" The verbalised sentence is ""The Organizing Committee is disjoint with the Program Committee."" The organizing committee and the steering committee are not the same. "
conference:Steering_committee,Target,Class,steering committee,"In the context of a research conference, a steering committee refers to a group of individuals responsible for overseeing and guiding the planning, organization, and execution of the conference. The steering committee typically consists of key stakeholders, such as conference organizers, senior researchers, and experts in the field. They are responsible for making important decisions regarding the conference, setting its goals and objectives, selecting the theme and topics, inviting speakers, reviewing abstracts and papers, and ensuring the overall success of the event. The steering committee plays a crucial role in shaping the direction and content of the conference, as well as ensuring its adherence to academic standards and objectives.","The verbalised sentence is ""The Steering_committee is a class."" The Steering Committee and the Program Committee are not the same. The Steering Committee and the Organizing Committee are not the same. The Steering_committee is a subclass of Committee. "
conference:Conference_volume,Target,Class,conference volume,"In the context of a research conference, the term ""Conference_volume"" typically refers to a publication or compilation that contains the proceedings, papers, or abstracts presented at the conference. It is a collection of all the research contributions and presentations made during the conference, often organized by session or topic. The conference volume serves as a record of the research presented and allows participants and others to access and reference the work discussed at the conference.","The verbalised sentence is ""Conference volume is a class."" The verbalised sentence is ""Conference volume is a subclass of Conference."" "
conference:Conference,Target,Class,conference,"In the context of a research conference, the term ""conference"" refers to a gathering or meeting of researchers, scholars, experts, and professionals from a particular field or discipline. It is a platform where individuals come together to present and discuss their research findings, share knowledge, exchange ideas, and engage in intellectual discussions. Conferences often include keynote speeches, paper presentations, panel discussions, workshops, and networking opportunities. They serve as a means to disseminate research, foster collaboration, and advance the understanding and development of a specific subject area.","The verbalised sentence is ""Conference is a class."" "
conference:Call_for_paper,Target,Class,call for paper,"In the context of a research conference, a ""Call for Papers"" (sometimes abbreviated as CFP) is a formal invitation for researchers, scholars, and experts to submit their original research papers or abstracts for consideration to be presented at the conference. The call typically outlines the conference theme, topics of interest, submission guidelines, important dates, and any specific requirements for the papers. It serves as a way to solicit high-quality research contributions from the academic community and encourages researchers to share their findings and insights with a wider audience.","The verbalised sentence is ""Call for paper is a class."" The verbalised sentence is ""A Call for Paper is a subclass of Conference document."" "
conference:Conference_announcement,Target,Class,conference announcement,"In the context of a research conference, a Conference_announcement refers to a formal communication or notification that is made to announce the details and important information about the conference. This announcement typically includes the conference theme, dates, venue, keynote speakers, submission deadlines, registration information, and any other relevant details that potential participants need to know. It serves as a way to inform researchers, scholars, and interested individuals about the upcoming conference and encourages them to participate or submit their research work.","The verbalised sentence is ""Conference announcement is a class."" The verbalised sentence is ""Conference announcement is a subclass of Conference document."" "
conference:Paper,Target,Class,paper,"In the context of a research conference, a paper refers to a written document that presents the findings, methodology, and analysis of a research study. It is typically submitted by researchers or scholars to share their work with the academic community. The paper is usually structured with sections such as an abstract, introduction, literature review, methodology, results, discussion, and conclusion. It serves as a means for researchers to communicate their research findings, contribute to the existing body of knowledge, and receive feedback from peers.","The verbalised sentence is ""Paper is a class."" The verbalised sentence is ""Paper is a subclass of Regular_contribution."" The verbalised sentence is ""The class 'Paper' is disjoint with the class 'Extended_abstract'."" "
conference:Invited_talk,Target,Class,invited talk,"In the context of a research conference, an ""invited talk"" refers to a presentation or lecture given by a speaker who has been specifically invited by the conference organizers to share their expertise or research findings with the attendees. These talks are typically given by renowned researchers, experts, or influential figures in the field, and they often cover a specific topic or area of interest that aligns with the conference theme or objectives. Invited talks are considered prestigious and are intended to provide valuable insights and knowledge to the conference participants.","The verbalised sentence is ""Invited talk is a class."" The verbalised sentence is ""Invited talk is disjoint with Poster."" The verbalised sentence is ""An invited talk is disjoint with a regular contribution."" The verbalised sentence is ""An invited talk is a subclass of a presentation."" "
conference:Conference_part,Target,Class,conference part,"In the context of a research conference, ""Conference_part"" typically refers to a specific segment or component of the conference program. It could be a session, workshop, panel discussion, keynote speech, poster presentation, or any other organized activity within the conference agenda. Conference parts are usually designed to cover specific topics, themes, or areas of research, allowing participants to engage in discussions, share their findings, and learn from each other's work.","The verbalised sentence is ""Conference_part is a class."" "
conference:Presentation,Target,Class,presentation,"In the context of a research conference, a presentation refers to the act of sharing research findings, ideas, or projects with an audience. It typically involves a speaker or a group of speakers presenting their work using visual aids such as slides, posters, or demonstrations. Presentations at research conferences are often structured, informative, and aim to communicate the research objectives, methodology, results, and conclusions to the audience. They can be delivered in various formats, including oral presentations, poster presentations, or interactive sessions, and are an essential part of disseminating research and fostering academic discussions.","The verbalised sentence is ""Presentation is a class."" The verbalised sentence is ""Presentation is a subclass of Conference contribution."" "
conference:Chair,Target,Class,chair,"In the context of a research conference, the term ""Chair"" typically refers to the person who presides over the conference sessions. The Chair is responsible for introducing the speakers, moderating the discussions, and ensuring that the conference runs smoothly according to the schedule. They may also facilitate question and answer sessions, manage time limits for presentations, and maintain order during the conference. The Chair plays a crucial role in maintaining the overall organization and flow of the conference.","The verbalised sentence is ""Chair is a class."" The verbalised sentence is ""Chair is a subclass of Committee_member."" "
conference:Track,Target,Class,track,"In the context of a research conference, a ""track"" refers to a specific theme or topic area that the conference is organized around. It represents a distinct area of research or a particular field of study. Conference organizers typically divide the conference program into different tracks to accommodate a wide range of research interests and to ensure that presentations and discussions are focused and relevant to specific areas of study. Participants can choose to attend sessions within a particular track that align with their research interests or expertise.","The verbalised sentence is ""The Track is a class."" The verbalised sentence is ""Track is a subclass of Conference_part."" The verbalised sentence is ""The Track ontology is disjoint with the Workshop ontology."" The verbalised sentence is ""The Track ontology is disjoint with the Tutorial ontology."" "
conference:Workshop,Target,Class,workshop,"In the context of a research conference, a workshop refers to a session or event that focuses on a specific topic or skill. It is typically a more interactive and hands-on session compared to traditional presentations or lectures. Workshops provide an opportunity for participants to actively engage in discussions, collaborate with others, and gain practical knowledge or skills related to the conference theme or subject area. Workshops may involve group activities, problem-solving exercises, demonstrations, or training sessions led by experts in the field.","The verbalised sentence is ""Workshop is a class."" The verbalised sentence is ""Workshop is a subclass of Conference_part."" The verbalised sentence is ""The Workshop is disjoint with the Tutorial."" The verbalised sentence is ""The Workshop is disjoint with the Track."" "
conference:Tutorial,Target,Class,tutorial,"In the context of a research conference, a tutorial refers to a session or workshop that provides in-depth instruction or guidance on a specific topic or skill. Tutorials are typically led by experts in the field and aim to educate and train participants on a particular subject. These sessions often involve interactive discussions, demonstrations, and hands-on activities to enhance learning and understanding. Tutorials can cover a wide range of topics, from technical skills and methodologies to theoretical concepts and practical applications.","The verbalised sentence is ""The class Tutorial is a type of class."" The verbalised sentence is ""The Tutorial is disjoint with the Track."" The verbalised sentence is ""The Tutorial is disjoint with the Workshop."" The verbalised sentence is ""The Tutorial is a subclass of Conference part."" "
conference:Rejected_contribution,Target,Class,rejected contribution,"In the context of a research conference, ""Rejected_contribution"" refers to a submission or proposal that has been evaluated by the conference organizers or reviewers and deemed unsuitable or not meeting the criteria for acceptance. It indicates that the contribution will not be included in the conference program or proceedings.","The verbalised sentence is ""Rejected_contribution is a class."" The verbalised sentence is ""Rejected contribution is disjoint with accepted contribution."" The verbalised sentence is ""A rejected contribution is a subclass of a reviewed contribution."" "
conference:Reviewed_contribution,Target,Class,reviewed contribution,"In the context of a research conference, a ""Reviewed_contribution"" typically refers to a research paper or abstract that has undergone a rigorous peer review process. This means that the contribution has been evaluated and assessed by experts in the field to ensure its quality, validity, and relevance to the conference theme or topic. The review process helps to maintain the academic integrity of the conference and ensures that only high-quality research is presented to the attendees.","The verbalised sentence is ""Reviewed contribution is a class."" The verbalised sentence is ""Reviewed contribution is a subclass of submitted contribution."" "
conference:Review,Target,Class,review,"In the context of a research conference, the term ""review"" typically refers to the process of evaluating and assessing the quality, relevance, and validity of research papers or proposals submitted for presentation at the conference. This review process is usually conducted by a panel of experts or peers in the field, known as reviewers or referees. The reviewers carefully examine the submitted work, provide constructive feedback, and make recommendations regarding its acceptance, revision, or rejection. The purpose of the review is to ensure that only high-quality and impactful research is presented at the conference.","The verbalised sentence is ""Review is a class."" The verbalised sentence is ""Review is a subclass of Conference_document."" "
conference:Topic,Target,Class,topic,"In the context of a research conference, a topic refers to the subject or theme that a particular presentation, session, or paper focuses on. It represents the specific area of research or study that is being discussed or explored. Topics can vary widely and cover various disciplines, such as science, technology, social sciences, humanities, etc. They provide a framework for organizing and categorizing the research being presented at the conference.","The verbalised sentence is ""Topic is a class."" "
conference:Late_paid_applicant,Target,Class,late paid applicant,"In the context of a research conference, the term ""Late_paid_applicant"" refers to an individual who has submitted their application to attend the conference after the designated deadline for submissions and has also paid the required fees after the specified payment deadline. This term is used to categorize and identify individuals who have applied and paid late, potentially affecting their eligibility or participation in the conference.","The verbalised sentence is ""Late paid applicant is a class."" The verbalised sentence is ""Late paid applicant is a subclass of paid applicant."" The verbalised sentence is ""Late paid applicant is disjoint with early paid applicant."" "
conference:Paid_applicant,Target,Class,paid applicant,"In the context of a research conference, the term ""Paid_applicant"" is not a commonly used term or concept. It is possible that it could refer to an individual who has paid a fee or registration cost to attend or participate in the conference as an applicant. However, without further context or clarification, it is difficult to determine the exact meaning of ""Paid_applicant"" in this specific context.","The verbalised sentence is ""Paid_applicant is a class."" The verbalised sentence is ""A paid applicant is a subclass of a registered applicant."" "
conference:Early_paid_applicant,Target,Class,early paid applicant,"In the context of a research conference, the term ""Early_paid_applicant"" likely refers to an individual who has submitted their application for the conference and has also paid the registration fee before the designated early bird deadline. This term is used to distinguish these applicants from those who submit their applications and pay the fee after the early bird deadline, often resulting in higher registration fees.","The verbalised sentence is ""Early paid applicant is a class."" The verbalised sentence is ""An early paid applicant is disjoint with a late paid applicant."" The verbalised sentence is ""An early paid applicant is a subclass of a paid applicant."" "
conference:Organizer,Target,Class,organizer,"In the context of a research conference, an organizer refers to an individual or group responsible for planning, coordinating, and managing the event. They are typically in charge of selecting the conference theme, inviting speakers and participants, arranging the schedule and logistics, securing funding, and ensuring the smooth execution of the conference. Organizers play a crucial role in bringing together researchers, scholars, and professionals from various fields to share their work, exchange ideas, and promote collaboration within the research community.","The verbalised sentence is ""Organizer is a class."" The verbalised sentence is ""The class 'Organizer' is a subclass of 'Thing'."" "
conference:Call_for_participation,Target,Class,call for participation,"In the context of a research conference, ""Call for participation"" refers to an invitation or announcement made by the conference organizers to researchers, scholars, and professionals to submit their work or proposals for consideration to be included in the conference program. It is a call for individuals to actively participate by presenting their research papers, posters, workshops, or other forms of contributions at the conference. The purpose of the call is to encourage a diverse range of submissions and ensure a high-quality program for the conference.","The verbalised sentence is ""The class Call_for_participation is a type of owl:Class."" The verbalised sentence is ""The class 'Call_for_participation' is a subclass of the class 'Conference_document'."" "
conference:Publisher,Target,Class,publisher,"In the context of a research conference, the term ""Publisher"" typically refers to the organization or entity responsible for publishing the conference proceedings. The publisher may be a university, academic institution, professional society, or a commercial publishing company. They are responsible for collecting and organizing the research papers presented at the conference, editing and formatting them, and making them available to the wider academic community through various channels such as online platforms, journals, or books. The publisher plays a crucial role in disseminating the research findings and ensuring their accessibility and visibility to the scientific community.","The verbalised sentence is ""The Publisher is a class."" "
conference:Registeered_applicant,Target,Class,registeered applicant,"In the context of a research conference, a ""Registered_applicant"" refers to an individual who has successfully completed the registration process to attend or participate in the conference. This term typically applies to individuals who have submitted their personal information, paid the registration fee (if applicable), and received confirmation of their registration. Registered applicants are typically granted access to the conference sessions, workshops, and other related activities.","The verbalised sentence is ""Registered applicant is a class."" The verbalised sentence is ""A registered applicant is a subclass of a conference applicant."" "
conference:Track-workshop_chair,Target,Class,track workshop chair,"In the context of a research conference, a Track-workshop_chair refers to an individual who is responsible for overseeing and managing a specific track or workshop within the conference. This role involves coordinating the submission and review process, selecting papers or presentations for inclusion, organizing the schedule, and ensuring the smooth running of the track or workshop during the conference. The Track-workshop_chair is typically an expert in the field related to the track or workshop and plays a crucial role in shaping the content and quality of the conference program.","The verbalised sentence is ""Track-workshop_chair is a class."" The verbalised sentence is ""The class 'Track-workshop_chair' is a subclass of the class 'Person'."" "
conference:Conference_www,Target,Class,conference www,"In the context of a research conference, ""Conference_www"" likely refers to the conference's website or online platform. It could be a shortened form of ""Conference World Wide Web"" or simply ""Conference Website."" This term is commonly used to denote the online presence of a conference, where participants can find information about the event, access the conference program, submit abstracts, register for attendance, and engage in virtual sessions or discussions.","The verbalised sentence is ""The class Conference_www is a type of owl:Class."" The verbalised sentence is ""Conference_www is a subclass of Conference_document."" "
conference:Conference_fees,Target,Class,conference fees,"Conference fees refer to the amount of money that participants are required to pay in order to attend a research conference. These fees typically cover various expenses associated with organizing the conference, such as venue rental, catering, printing materials, technical equipment, and administrative costs. Conference fees may vary depending on factors such as the duration of the conference, the number of sessions or workshops offered, the prestige of the event, and any additional services provided to participants.","The verbalised sentence is ""Conference fees is a class."" "
conference:Review_preference,Target,Class,review preference,"In the context of a research conference, ""Review_preference"" refers to the selection or prioritization of certain research papers or proposals for review. It indicates the preference or priority given to specific submissions by the conference organizers or program committee when assigning them to reviewers. This preference can be based on various factors such as the relevance of the topic, the expertise of the reviewers, the quality of the abstract or proposal, or the potential impact of the research.","The verbalised sentence is ""Review preference is a class."" The verbalised sentence is ""Review preference is a subclass of Thing."" "
cmt:assignedByReviewer,Source,Property,assigned by reviewer,"In the context of a research conference, ""assignedByReviewer"" refers to the process of assigning a paper or research submission to a specific reviewer for evaluation and feedback. It indicates that a particular reviewer has been designated or assigned the task of reviewing and assessing the quality, relevance, and validity of the submitted research work. The assigned reviewer is responsible for providing constructive criticism, suggestions, and recommendations to the authors based on their expertise and knowledge in the relevant field.","The verbalised sentence is ""The property 'assignedByReviewer' in the CMT ontology is an object property."" The verbalised sentence is ""The property 'assignedByReviewer' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'assignedByReviewer' has a range of 'Reviewer' in the CMT ontology."" The verbalised sentence is ""The assignedByReviewer property of the CMT ontology is the inverse of the assignExternalReviewer property of the CMT ontology."" The verbalised sentence is ""The property 'assignedByReviewer' has a domain of 'ExternalReviewer' in the CMT ontology."" "
cmt:hasDecision,Source,Property,has decision,"In the context of a research conference, ""hasDecision"" typically refers to the status or outcome of a submitted research paper or proposal. It indicates whether the paper has been accepted, rejected, or is still under review by the conference organizers or program committee. The ""hasDecision"" field is often used to track the decision made on each submission and communicate it to the authors.","The verbalised sentence is ""The property 'hasDecision' in the CMT ontology is an object property."" The verbalised sentence is ""The property 'hasDecision' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'hasDecision' has a domain of 'Paper' in the CMT ontology."" The verbalised sentence is ""The range of the property 'hasDecision' in the CMT ontology is 'Decision'."" "
cmt:readByReviewer,Source,Property,read by reviewer,"In the context of a research conference, ""readByReviewer"" typically refers to the status or action of a paper or research article being reviewed by a designated reviewer. It implies that the reviewer has gone through the content of the paper, assessed its quality, and provided feedback or evaluation based on their expertise in the field. The ""readByReviewer"" status indicates that the reviewer has completed their review process and the paper is now ready for further consideration or decision-making by the conference organizers or program committee.","The verbalised sentence is ""The property 'readByReviewer' is an object property in the CMT ontology."" The verbalised sentence is ""The property 'readByReviewer' has a range of 'Reviewer' in the CMT ontology."" The verbalised sentence is ""A paper is read by a reviewer."" The verbalised sentence is ""The reviewer reads the paper."" "
cmt:hasConflictOfInterest,Source,Property,has conflict of interest,"In the context of a research conference, ""hasConflictOfInterest"" refers to a situation where a researcher or presenter has a personal, financial, or professional interest that could potentially bias their research or presentation. It implies that the individual may have a stake in the outcome of the research or a relationship with an organization or entity that could influence their objectivity. Disclosing conflicts of interest is important in maintaining transparency and ensuring the integrity of the research presented at conferences.","The verbalised sentence is ""The property 'hasConflictOfInterest' in the CMT ontology is an object property."" The verbalised sentence is ""A person in the CMT ontology has a conflict of interest."" The verbalised sentence is ""The property 'hasConflictOfInterest' in the CMT ontology has a range of 'Document'."" "
cmt:finalizePaperAssignment,Source,Property,finalize paper assignment,"In the context of a research conference, ""finalizePaperAssignment"" refers to the process of assigning or allocating papers to specific sessions or tracks. It involves making the final decisions on which papers will be presented in each session or track based on their relevance, quality, and fit with the conference theme. This task is typically carried out by the conference organizers or program committee to ensure a well-organized and cohesive conference program.","The verbalised sentence is ""The finalizePaperAssignment is an object property."" The verbalised sentence is ""The finalizePaperAssignment property has a domain of Administrator in the CMT ontology."" The verbalised sentence is ""The finalization of paper assignment is the inverse of being finalized by paper assignment."" The verbalised sentence is ""The range of the property 'finalizePaperAssignment' is 'Conference' in the CMT ontology."" "
cmt:paperAssignmentFinalizedBy,Source,Property,paper assignment finalized by,"In the context of a research conference, ""paperAssignmentFinalizedBy"" refers to the process or action of assigning a final version of a research paper to a specific individual or entity. It typically indicates that the paper has gone through the review and revision process and has been officially assigned to a particular presenter or session at the conference. This term is often used in conference management systems or platforms to track and manage the allocation of papers to presenters or sessions.","The verbalised sentence is ""The paper assignment is finalized by."" The verbalised sentence is ""The paper assignment is finalized by an administrator."" The verbalised sentence is ""The paper assignment is finalized by a conference."" The verbalised sentence is ""The paper assignment is finalized by the inverse of the action of finalizing the paper assignment."" "
cmt:hasConferenceMember,Source,Property,has conference member,"In the context of a research conference, ""hasConferenceMember"" refers to a relationship or attribute that indicates whether an individual or entity is a member of the conference. It implies that the person or entity is associated with the conference in some capacity, such as being a participant, presenter, organizer, or attendee.","The verbalised sentence is ""The property 'hasConferenceMember' in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'hasConferenceMember' in the CMT ontology is 'ConferenceMember'."" The verbalised sentence is ""The domain of the property 'hasConferenceMember' in the CMT ontology is the class 'Conference'."" The verbalised sentence is ""The property 'hasConferenceMember' in the CMT ontology is the inverse of the property 'memberOfConference'."" "
cmt:memberOfConference,Source,Property,member of conference,"In the context of a research conference, ""memberOfConference"" refers to an individual or entity that is a part of or affiliated with the conference. It typically denotes the participants, attendees, presenters, organizers, or any other individuals or organizations involved in the conference. The term is used to establish a relationship between the conference and the individuals or entities associated with it.","The verbalised sentence is ""The memberOfConference property is an object property."" The verbalised sentence is ""The domain of the property 'memberOfConference' in the CMT ontology is 'ConferenceMember'."" The verbalised sentence is ""A member belongs to a conference if and only if the conference has that member."" The verbalised sentence is ""The memberOfConference property has a range of Conference in the CMT ontology."" "
cmt:runPaperAssignmentTools,Source,Property,run paper assignment tools,"In the context of a research conference, ""runPaperAssignmentTools"" likely refers to a software or tool that is used to assign papers to reviewers or session chairs. It could be a program or script that automates the process of matching papers with appropriate reviewers based on their expertise or preferences. This tool helps streamline the paper assignment process, ensuring that each paper is reviewed by the most suitable individuals.","The verbalised sentence is ""The runPaperAssignmentTools property in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'runPaperAssignmentTools' in the CMT ontology is a 'Conference'."" The verbalised sentence is ""The domain of the property 'runPaperAssignmentTools' in the CMT ontology is an administrator in the CMT domain."" The verbalised sentence is ""The runPaperAssignmentTools property of the CMT ontology is the inverse of the paperAssignmentToolsRunBy property."" "
cmt:paperAssignmentToolsRunBy,Source,Property,paper assignment tools run by,"In the context of a research conference, ""paperAssignmentToolsRunBy"" refers to the tools or software systems that are used to assign papers to reviewers. These tools help in the process of matching papers with appropriate reviewers based on their expertise and interests. The term ""run by"" indicates that these tools are managed or operated by a specific entity or organization responsible for organizing the conference.","The verbalised sentence is ""The paper assignment tools run by CMT are of type object property."" The verbalised sentence is ""The paper assignment tools are run by the inverse of the run paper assignment tools."" The verbalised sentence is ""The paper assignment tools are run by an administrator in the CMT ontology."" The verbalised sentence is ""Paper assignment tools run by a conference."" "
cmt:enableVirtualMeeting,Source,Property,enable virtual meeting,"In the context of a research conference, ""enableVirtualMeeting"" refers to the capability or feature that allows participants to attend and participate in the conference remotely through virtual means, such as video conferencing or online platforms. It implies the use of technology to create a virtual meeting environment where attendees can join, present their research, interact with other participants, and engage in discussions without physically being present at the conference venue.","The verbalised sentence is ""The enableVirtualMeeting property of the CMT ontology is an object property."" The verbalised sentence is ""The enableVirtualMeeting property has a domain of Administrator in the CMT ontology."" The verbalised sentence is ""The range of the property 'enableVirtualMeeting' in the CMT ontology is a 'Conference'."" The verbalised sentence is ""The enableVirtualMeeting property of the CMT ontology is the inverse of the virtualMeetingEnabledBy property of the CMT ontology."" "
cmt:virtualMeetingEnabledBy,Source,Property,virtual meeting enabled by,"In the context of a research conference, ""virtualMeetingEnabledBy"" refers to the technology or platform that enables participants to attend and participate in the conference remotely through virtual means. It could be a software application, video conferencing platform, or any other technology that facilitates virtual meetings and allows participants to connect and engage with the conference proceedings from a remote location.","The verbalised sentence is ""The virtual meeting is enabled by the CMT ontology."" The verbalised sentence is ""The virtual meeting is enabled by the Conference in the CMT ontology."" The verbalised sentence is ""The range of the property 'virtualMeetingEnabledBy' in the CMT ontology is an 'Administrator' in the CMT ontology."" The verbalised sentence is ""A virtual meeting is enabled by the inverse of enabling a virtual meeting."" "
cmt:hasProgramCommitteeMember,Source,Property,has program committee member,"In the context of a research conference, ""hasProgramCommitteeMember"" refers to a relationship or attribute that indicates whether a person is a member of the program committee for that conference. The program committee is responsible for reviewing and selecting research papers, organizing sessions, and ensuring the quality and relevance of the conference program. Therefore, ""hasProgramCommitteeMember"" would typically be used to denote the individuals who have been appointed or invited to serve on the program committee for a particular research conference.","The verbalised sentence is ""The property 'hasProgramCommitteeMember' in the CMT ontology is an object property."" The verbalised sentence is ""The domain of the property 'hasProgramCommitteeMember' in the CMT ontology is the class 'ProgramCommittee'."" The verbalised sentence is ""A program committee member has an inverse relationship with being a member of the program committee."" The verbalised sentence is ""The range of the property 'hasProgramCommitteeMember' in the CMT ontology is 'ProgramCommitteeMember'."" "
cmt:memberOfProgramCommittee,Source,Property,member of program committee,"In the context of a research conference, ""memberOfProgramCommittee"" refers to an individual who is a member of the program committee for that conference. The program committee is responsible for reviewing and selecting research papers or presentations to be included in the conference program. Members of the program committee are typically experts in the field and contribute to the evaluation and decision-making process regarding the acceptance or rejection of submissions. They may also provide feedback and suggestions to authors for improving their work.","The verbalised sentence is ""The memberOfProgramCommittee is an object property."" The verbalised sentence is ""A member is a member of the program committee if and only if the program committee has that member."" The verbalised sentence is ""The domain of the property 'memberOfProgramCommittee' in the CMT ontology is 'ProgramCommitteeMember'."" The verbalised sentence is ""The range of the property 'memberOfProgramCommittee' in the CMT ontology is the class 'ProgramCommittee' in the CMT ontology."" "
cmt:startReviewerBidding,Source,Property,start reviewer bidding,"In the context of a research conference, ""startReviewerBidding"" refers to the process of initiating the selection of reviewers for the submitted research papers. It typically involves a system or platform where conference organizers or program chairs invite potential reviewers to express their interest in reviewing specific papers. The startReviewerBidding function may trigger the opening of a bidding period during which reviewers can indicate their preferences or expertise in certain research areas. This process helps in assigning appropriate reviewers to each paper, ensuring a fair and knowledgeable evaluation of the submissions.","The verbalised sentence is ""The property 'startReviewerBidding' is an object property."" The verbalised sentence is ""The domain of cmt:startReviewerBidding is cmt:Administrator."" The range of the property ""startReviewerBidding"" in the CMT ontology is a ""Conference"" according to the Conference ontology. The verbalised sentence is ""The startReviewerBidding property is the inverse of the reviewerBiddingStartedBy property."" "
cmt:reviewerBiddingStartedBy,Source,Property,reviewer bidding started by,"In the context of a research conference, ""reviewerBiddingStartedBy"" refers to the entity or system that initiates the process of assigning reviewers to research papers. It could be a program chair, conference organizer, or a software platform that manages the review process. The ""reviewerBiddingStartedBy"" is responsible for starting the reviewer assignment process by inviting potential reviewers to express their interest in reviewing specific papers.","The verbalised sentence is ""The reviewer bidding started by is an object property."" The verbalised sentence is ""The reviewer bidding started by a Conference."" The verbalised sentence is ""The reviewer bidding started by CMT is the inverse of starting reviewer bidding."" The verbalised sentence is ""The reviewer bidding is started by an administrator."" "
cmt:assignReviewer,Source,Property,assign reviewer,"In the context of a research conference, ""assignReviewer"" refers to the process of assigning a specific reviewer or reviewers to evaluate and provide feedback on a research paper or proposal submitted for presentation at the conference. This task is typically carried out by the conference organizers or program committee, who carefully select reviewers with expertise in the relevant field to ensure a fair and thorough evaluation of the submission. The assigned reviewers are responsible for critically assessing the quality, significance, and validity of the research work and providing constructive comments and recommendations to the authors.","The verbalised sentence is ""The property 'assignReviewer' in the CMT ontology is an object property."" The verbalised sentence is ""An assignReviewer in the CMT ontology is the inverse of an assignedByAdministrator in the CMT ontology."" The verbalised sentence is ""The range of the property 'assignReviewer' in the CMT ontology is 'Reviewer'."" The verbalised sentence is ""The assignReviewer property has a domain of Administrator in the CMT ontology."" "
cmt:assignedByAdministrator,Source,Property,assigned by administrator,"In the context of a research conference, ""assignedByAdministrator"" refers to the process of assigning or allocating tasks, roles, or responsibilities to participants or attendees by the conference administrator or organizer. It implies that the administrator is responsible for determining and distributing specific assignments to individuals involved in the conference, such as presenters, session chairs, reviewers, or committee members.","The verbalised sentence is ""The assignedByAdministrator property is an object property."" The verbalised sentence is ""The property 'assignedByAdministrator' has a range of 'Administrator' in the CMT ontology."" The verbalised sentence is ""The assignedByAdministrator property in the CMT ontology is the inverse of the assignReviewer property in the CMT ontology."" The verbalised sentence is ""The assignedByAdministrator property has a domain of Reviewer in the CMT ontology."" "
cmt:reviewCriteriaEnteredBy,Source,Property,review criteria entered by,"In the context of a research conference, ""reviewCriteriaEnteredBy"" refers to the individual or entity responsible for entering the review criteria or evaluation criteria used to assess the research papers or proposals submitted to the conference. This could be a program committee, a group of reviewers, or an individual reviewer who sets the specific criteria that will be used to evaluate the submissions.","The verbalised sentence is ""The review criteria entered by CMT is an object property."" The verbalised sentence is ""The review criteria entered by is in the range of Administrator."" The verbalised sentence is ""The review criteria entered by CMT is the inverse of entering review criteria."" The verbalised sentence is ""The review criteria is entered by a conference."" "
